year,zip,count,zip_population,zip_area,per_capita,per_area,normalized_per_area,normalized_per_population,normalized_count,density,normalized_density
2021,02134,335,18437,854.438872322,0.01816998427076,0.39207017710888,21.57790404584,0.03499708519677,0.01816998427076,0.14955357142857,1.7350336919904E-6
2021,02125,1377,32614,1486.6968919533,0.04222113202919,0.92621435307555,21.937222157739,0.08267602209401,0.04222113202919,0.61473214285714,1.7639257024916E-6
2021,02110,41,2307,152.37106875965,0.017771998266147,0.26907995286608,15.140669542977,0.024018695083207,0.017771998266147,0.018303571428571,1.2174292609954E-6
2021,02118,1849,27718,715.37137448028,0.066707554657623,2.5846714950585,38.746308545176,0.23071371861345,0.066707554657623,0.82544642857143,3.1155088382691E-6
2021,02126,1096,25572,1395.4511089712,0.042859377444079,0.78540910029305,18.325256854648,0.070107421584481,0.042859377444079,0.48928571428571,1.4734952009077E-6
2021,02109,215,3627,127.10586408985,0.059277639922801,1.6915033900247,28.535268816835,0.15098748057769,0.059277639922801,0.095982142857143,2.2944606993354E-6
2021,02021,0,24122,0.05422187781109,0,0,444875.7766015,0,0,0,0.035771521622963
2021,02113,722,6726,64.447379544124,0.10734463276836,11.202938041968,104.3642122857,1,0.10734463276836,0.32232142857143,8.3917058936332E-6
2021,02130,894,41112,2415.5452944268,0.021745475773497,0.37010276812554,17.019759511384,0.033036223778002,0.021745475773497,0.39910714285714,1.3685229167343E-6
2021,02121,1105,29888,1122.725487675,0.036971359743041,0.98421209113934,26.62093301355,0.087853033503563,0.036971359743041,0.49330357142857,2.140533000453E-6
2021,02119,1169,28307,1021.8434005305,0.041297205638181,1.1440109114499,27.701896381876,0.10211704350808,0.041297205638181,0.521875,2.2274509819154E-6
2021,02115,448,28559,453.88650218431,0.015686823768339,0.98703089394379,62.921016294957,0.088104646321013,0.015686823768339,0.2,5.0593460316677E-6
2021,02163,0,2198,75.099018387558,0,0,29.26802569718,0,0,0,2.3533801325082E-6
2021,02135,1064,45024,1804.8858109214,0.02363184079602,0.5895109782357,24.945622447448,0.052621104930448,0.02363184079602,0.475,2.0058248160733E-6
2021,02199,0,1232,36.803888047732,0,0,33.474724148769,0,0,0,2.6916318704919E-6
2021,02459,0,19081,0.57008165130302,0,0,33470.643997026,0,0,0,0.0026913037941075
2021,02124,2240,56070,1966.4382013851,0.039950062421973,1.1391153804997,28.513481868134,0.1016800571629,0.039950062421973,1,2.2927088568043E-6
2021,02132,775,26437,2969.712705643,0.029314975224118,0.26096800492767,8.9022079306745,0.023294603964607,0.029314975224118,0.34598214285714,7.1580773832397E-7
2021,02114,929,13401,287.84743375891,0.069323184836952,3.2274041420779,46.555912710426,0.28808551203154,0.069323184836952,0.41473214285714,3.7434626153844E-6
2021,02108,300,4225,141.46356918326,0.071005917159763,2.1206873383165,29.866346681291,0.18929742629765,0.071005917159763,0.13392857142857,2.4014898591921E-6
2021,02136,683,40947,2941.436025235,0.016680098664127,0.2321995087231,13.920751513448,0.020726661867918,0.016680098664127,0.30491071428571,1.1193382286967E-6
2021,02111,243,7841,179.60971869217,0.030990945032521,1.3529334702454,43.655766832075,0.12076595132251,0.030990945032521,0.10848214285714,3.5102680103877E-6
2021,02210,20,4830,743.18664082978,0.0041407867494824,0.026911140353209,6.4990403952999,0.0024021502441945,0.0041407867494824,0.0089285714285714,5.2257411227231E-7
2021,02116,1388,22587,438.88076604158,0.061451277283393,3.1625901780086,51.465003134496,0.28230006862138,0.061451277283393,0.61964285714286,4.1381922084299E-6
2021,02131,693,32609,1875.3167241138,0.021251801649851,0.36953757788699,17.388529404498,0.032985773598198,0.021251801649851,0.309375,1.3981749250009E-6
2021,02127,1524,35266,1550.4165001018,0.043214427493903,0.98296167507244,22.746145953481,0.087741418491303,0.043214427493903,0.68035714285714,1.8289695564676E-6
2021,02120,293,15082,397.83043042133,0.019427131680149,0.73649469119216,37.910624343209,0.065741208996528,0.019427131680149,0.13080357142857,3.0483132365462E-6
2021,02203,1,1,19.845425926216,1,0.050389445090166,0.050389445090166,0.0044978776907808,1,0.00044642857142857,4.051708857654E-9
2021,02215,175,25856,578.47355371733,0.006768254950495,0.30252031207898,44.696943937794,0.027003658410472,0.006768254950495,0.078125,3.5939868625021E-6
2021,02129,470,20411,969.92108644058,0.023026799274901,0.48457550471947,21.043980057083,0.043254323366262,0.023026799274901,0.20982142857143,1.692101991697E-6
2021,02128,1068,45501,3393.0717184246,0.023472011604141,0.31475904096005,13.409972961351,0.028096115481575,0.023472011604141,0.47678571428571,1.0782676040823E-6
2021,02122,957,23747,1402.3498930497,0.040299827346612,0.682425979952,16.933719692706,0.060914911552267,0.040299827346612,0.42723214285714,1.3616046366297E-6
2021,02151,0,60736,199.8977913536,0,0,303.83527295989,0,0,0,2.4430752601393E-5
2021,02186,0,28414,0.0022847097298924,0,0,12436590.796739,0,0,0,1
2021,02026,0,25308,0.44017516071741,0,0,57495.293370831,0,0,0,0.0046230751104158
2021,02152,0,19088,203.70598222496,0,0,93.703679153223,0,0,0,7.534514939399E-6
