zip,population
2184,"38,712"
2186,"28,414"
2188,"16,169"
2189,"15,265"
2190,"17,927"
2191,"7,856"
2199,"1,232"
2203,1
2205,1
2210,"4,830"
2215,"25,856"
2301,"68,571"
2302,"35,645"
2322,"4,740"
2324,"25,245"
2325,"3,082"
2330,"11,641"
2332,"16,004"
2333,"14,403"
2338,"7,737"
2339,"14,742"
2341,"10,419"
2343,"11,309"
2346,"24,219"
2347,"11,514"
2350,182
2351,"16,974"
2356,"11,943"
2357,"1,582"
2359,"18,329"
2360,"60,793"
2364,"13,618"
2366,194
2367,"2,934"
2368,"34,696"
2370,"17,774"
2375,"11,437"
2379,"7,622"
2382,"15,116"
2420,"15,451"
2421,"18,784"
2445,"21,485"
2446,"31,764"
2451,"17,965"
2452,"16,193"
2453,"30,441"
2457,"1,848"
2458,"12,428"
2459,"19,081"
2460,"9,638"
2461,"6,899"
2462,"1,381"
2464,"3,595"
2465,"11,574"
2466,"9,109"
2467,"23,328"
2468,"5,305"
2472,"35,229"
2474,"28,028"
2476,"18,017"
2478,"27,016"
2481,"16,997"
2482,"10,520"
2492,"20,927"
2493,"11,806"
2494,"10,881"
2532,"12,715"
2534,"1,127"
2535,"2,151"
2536,"20,261"
2537,"7,124"
2538,"4,663"
2539,"5,084"
2540,"8,888"
2542,847
2543,924
2553,30
2554,"13,585"
2556,"2,457"
2557,"1,762"
2558,"1,779"
2559,"3,307"
2561,"1,025"
2562,"3,204"
2563,"9,514"
2564,180
2568,"8,810"
2571,"10,738"
2575,"2,432"
2576,"3,985"
2584,30
2601,"17,175"
2630,"1,953"
2631,"10,109"
2632,"12,038"
2633,"4,649"
2635,"2,902"
2637,292
2638,"3,180"
2639,"3,439"
2641,178
2642,"5,674"
2643,1
2644,"3,713"
2645,"10,845"
2646,"1,801"
2647,166
2648,"7,283"
2649,"14,996"
2650,764
2652,990
2653,"6,276"
2655,"3,341"
2657,"3,582"
2659,"1,141"
2660,"6,480"
2663,398
2664,"9,010"
2666,585
2667,"3,907"
2668,"2,604"
2670,"1,373"
2671,870
2672,153
2673,"9,351"
2675,"7,178"
2702,"4,383"
2703,"46,126"
2713,34
2715,"3,531"
2717,"4,782"
2718,"6,867"
2719,"15,911"
2720,"31,210"
2721,"26,981"
2723,"16,577"
2724,"18,127"
2725,"2,490"
2726,"15,781"
2738,"5,378"
2739,"6,478"
2740,"45,990"
2743,"10,443"
2744,"12,614"
2745,"24,884"
2746,"16,675"
2747,"22,872"
2748,"11,496"
2760,"28,837"
2762,"9,760"
2763,"1,720"
2764,"4,472"
2766,"19,270"
2767,"15,255"
2769,"12,434"
2770,"5,702"
2771,"15,339"
2777,"17,020"
2779,"6,724"
2780,"51,911"
2790,"16,237"
2791,361
